(199 , 204 , 204),
(212 , 217 , 213),
(178 , 175 , 180),
(101 , 112 , 155),
(190 , 158 , 191),
(185 , 191 , 198),
(131 , 149 , 187),
(73 , 71 , 110),
(83 , 111 , 183),
(145 , 132 , 130),
(65 , 29 , 82),
(73 , 81 , 149),
(220 , 224 , 220),
(149 , 65 , 95),
(139 , 164 , 200),
(94 , 97 , 156),
(85 , 85 , 149),
(37 , 20 , 71),
(141 , 147 , 178),
(135 , 127 , 160),
(150 , 157 , 177),
(87 , 100 , 160),
(77 , 89 , 155),
(41 , 16 , 78),
(179 , 91 , 105),
(77 , 73 , 142),
(122 , 108 , 150),
(138 , 44 , 91),
(78 , 64 , 131),
(92 , 86 , 136),
(54 , 46 , 115),
(85 , 119 , 187),
