(194 , 184 , 196),
(92 , 100 , 128),
(27 , 22 , 18),
(203 , 194 , 207),
(31 , 37 , 31),
(101 , 104 , 129),
(200 , 191 , 197),
(173 , 176 , 188),
(81 , 84 , 110),
(90 , 99 , 136),
(187 , 177 , 193),
(169 , 163 , 184),
(70 , 77 , 101),
(168 , 179 , 188),
(21 , 23 , 15),
(193 , 147 , 73),
(37 , 42 , 30),
(146 , 37 , 19),
(162 , 178 , 197),
(118 , 118 , 144),
(150 , 147 , 171),
(13 , 10 , 9),
(50 , 62 , 91),
(85 , 76 , 99),
(177 , 91 , 63),
(199 , 156 , 87),
(71 , 85 , 126),
(157 , 156 , 183),
(105 , 97 , 132),
(166 , 71 , 44),
(129 , 126 , 155),
(30 , 25 , 39),
(192 , 183 , 144),
(139 , 44 , 32),
(191 , 183 , 190),
(85 , 104 , 121),
(129 , 27 , 15),
(99 , 91 , 109),
(55 , 68 , 110),
(165 , 172 , 188),
(115 , 121 , 133),
(61 , 58 , 75),
(121 , 102 , 122),
(25 , 9 , 15),
(182 , 133 , 53),
(134 , 145 , 160),
(90 , 85 , 68),
(180 , 93 , 73),
(78 , 80 , 125),
(51 , 46 , 48),
(79 , 67 , 91),
(88 , 96 , 124),
(114 , 93 , 65),
(109 , 91 , 101),
(34 , 15 , 28),
(41 , 43 , 75),
(186 , 139 , 59),
(114 , 69 , 31),
(102 , 75 , 84),
(142 , 22 , 20),
(76 , 65 , 75),
(70 , 71 , 103),
(19 , 14 , 10),
(42 , 23 , 10),
(41 , 53 , 54),
(90 , 94 , 145),
(121 , 84 , 93),
(161 , 143 , 165),
(56 , 73 , 121),
(143 , 124 , 155),
(74 , 85 , 93),
(72 , 81 , 113),
(112 , 116 , 116),
(185 , 103 , 83),
(54 , 66 , 98),
(60 , 63 , 65),
(92 , 30 , 16),
(146 , 38 , 26),
(203 , 183 , 140),
(33 , 30 , 29),
(138 , 152 , 177),
(152 , 45 , 34),
(91 , 109 , 159),
(207 , 182 , 187),
(126 , 117 , 152),
(104 , 62 , 28),
(177 , 163 , 183),
(41 , 57 , 93),
(199 , 185 , 189),
(214 , 209 , 212),
(126 , 120 , 138),
(149 , 41 , 31),
(63 , 54 , 48),
(34 , 49 , 47),
(177 , 88 , 68),
(161 , 156 , 169),
(92 , 59 , 105),
(135 , 102 , 115),
(204 , 161 , 97),
(177 , 192 , 207),
(167 , 75 , 38),
(171 , 111 , 48),
(114 , 21 , 4),
(152 , 169 , 182),
(149 , 144 , 160),
(77 , 69 , 56),
(121 , 97 , 62),
(134 , 131 , 135),
(57 , 56 , 107),
(71 , 13 , 8),
(98 , 113 , 154),
(85 , 63 , 86),
(111 , 123 , 162),
(117 , 81 , 108),
(35 , 23 , 50),
(42 , 47 , 38),
(188 , 145 , 78),
(109 , 19 , 12),
(89 , 28 , 9),
(158 , 164 , 181),
(102 , 121 , 142),
(75 , 72 , 95),
(192 , 160 , 81),
(59 , 78 , 132),
(47 , 46 , 83),
(142 , 140 , 157),
(187 , 162 , 64),
(142 , 130 , 120),
