(91 , 90 , 119),
(192 , 178 , 200),
(31 , 28 , 22),
(109 , 97 , 126),
(75 , 73 , 103),
(160 , 150 , 183),
(41 , 34 , 30),
(92 , 81 , 110),
(190 , 195 , 181),
(184 , 134 , 82),
(204 , 203 , 184),
(136 , 133 , 150),
(56 , 50 , 72),
(94 , 90 , 145),
(167 , 177 , 157),
(127 , 27 , 25),
(33 , 29 , 10),
(123 , 113 , 154),
(117 , 91 , 62),
(187 , 152 , 77),
(171 , 82 , 56),
(88 , 63 , 63),
(7 , 19 , 3),
(91 , 98 , 126),
(201 , 191 , 197),
(168 , 174 , 190),
(71 , 63 , 116),
(138 , 59 , 34),
(190 , 163 , 139),
(152 , 101 , 77),
(53 , 55 , 84),
(25 , 23 , 19),
(92 , 47 , 25),
(119 , 84 , 95),
(138 , 117 , 149),
(37 , 38 , 105),
(62 , 54 , 31),
(102 , 84 , 59),
(203 , 169 , 96),
(147 , 39 , 30),
(150 , 85 , 68),
(179 , 178 , 149),
(180 , 134 , 50),
(158 , 135 , 152),
(185 , 149 , 167),
(142 , 34 , 22),
(113 , 52 , 39),
(177 , 135 , 118),
(139 , 146 , 178),
(89 , 104 , 147),
(130 , 27 , 16),
(124 , 116 , 134),
(158 , 153 , 167),
(108 , 101 , 151),
(109 , 111 , 141),
(72 , 69 , 91),
(81 , 21 , 10),
(173 , 188 , 204),
(208 , 172 , 105),
(29 , 27 , 34),
(126 , 123 , 142),
(131 , 92 , 101),
(73 , 87 , 138),
(54 , 77 , 66),
